tempo_execucao,navios,nao_detectados,detectados,inspecionados,distancia_percorrida,waypoints_visitados,politica,iteracao
2.2418668270111084,10,1,0,9,831.3359892326785,6,SA,1
2.4918792247772217,10,0,0,10,773.3175503389365,6,SA,2
2.578897714614868,10,2,0,8,812.4864485998922,6,SA,3
1.9896795749664307,10,4,0,6,822.5089943919207,6,SA,4
2.1941351890563965,10,1,0,9,829.6033095661893,6,SA,5
1.9926731586456299,10,1,0,9,794.9567696569216,6,SA,6
1.9647481441497803,10,4,0,6,830.4945862216973,6,SA,7
2.2978568077087402,10,2,0,8,937.9360972208929,6,SA,8
2.161222457885742,10,1,0,9,887.844586737704,6,SA,9
2.306833267211914,10,2,0,8,885.8187843856675,6,SA,10
2.2420053482055664,10,3,0,7,850.4218948917412,6,SA,11
2.2539734840393066,10,4,0,6,916.9152213077971,6,SA,12
2.173189878463745,10,1,0,9,831.451901683268,6,SA,13
2.199120283126831,10,2,0,8,836.4338678650189,6,SA,14
2.1931369304656982,10,3,0,7,818.0066433153396,6,SA,15
2.293867826461792,10,1,0,9,822.7470748606054,6,SA,16
2.0754504203796387,10,2,0,8,764.6031137562193,6,SA,17
2.460421323776245,10,1,0,9,861.3360403946841,6,SA,18
2.368668556213379,10,3,0,7,857.6158966462131,6,SA,19
2.698784828186035,10,2,0,8,899.2169768420129,6,SA,20
2.5731194019317627,10,3,0,7,893.6615161791339,6,SA,21
2.1781766414642334,10,1,0,9,892.328407054089,6,SA,22
1.8610243797302246,10,5,0,5,772.4559776735555,6,SA,23
2.239013910293579,10,3,0,7,873.032746899919,6,SA,24
2.0804378986358643,10,5,0,5,808.082048576272,6,SA,25
1.9926741123199463,10,3,0,7,792.4164357552949,6,SA,26
2.196126699447632,10,3,0,7,890.3547086246573,6,SA,27
1.9787101745605469,10,2,0,8,835.6560440156422,6,SA,28
1.993669033050537,10,4,0,6,774.4844664224802,6,SA,29
2.5551676750183105,10,1,0,9,942.1636642147051,6,SA,30
2.3297722339630127,10,1,0,9,916.4047732532368,6,SA,31
1.938817024230957,10,3,0,7,774.4356538154296,6,SA,32
1.975714921951294,10,4,0,6,792.6011851095158,6,SA,33
2.106370687484741,10,5,0,5,835.5034278365071,6,SA,34
2.14925217628479,10,2,0,8,909.6732237073011,6,SA,35
2.304837703704834,10,4,0,6,887.1775765458262,6,SA,36
2.0774457454681396,10,5,0,5,787.8168035872836,6,SA,37
2.115344762802124,10,3,0,7,926.3570556172506,6,SA,38
2.0654778480529785,10,2,0,8,835.6639647931102,6,SA,39
2.0136163234710693,10,4,0,6,816.2773637166538,6,SA,40
1.8221280574798584,10,4,0,6,761.7231595535358,6,SA,41
1.66654372215271,10,5,0,5,756.8877379806975,6,SA,42
2.0026466846466064,10,3,0,7,789.5640212208117,6,SA,43
1.9866881370544434,10,3,0,7,834.087581827394,6,SA,44
2.028576612472534,10,3,0,7,769.0990573351523,6,SA,45
1.8440697193145752,10,4,0,6,735.5926186585956,6,SA,46
1.967738389968872,10,5,0,5,837.1617834306583,6,SA,47
1.6854937076568604,10,5,0,5,711.8680257938148,6,SA,48
2.2689340114593506,10,0,0,10,896.4537664863161,6,SA,49
1.9577646255493164,10,3,0,7,767.9841402247279,6,SA,50
2.1183359622955322,10,2,0,8,853.5101494839865,6,SA,51
2.026582956314087,10,2,0,8,889.4691012859294,6,SA,52
2.1791727542877197,10,2,0,8,917.4687862810439,6,SA,53
1.8251211643218994,10,3,0,7,735.7558105965481,6,SA,54
1.9587624073028564,10,3,0,7,787.8468051617732,6,SA,55
1.8600270748138428,10,4,0,6,880.4297418696241,6,SA,56
1.7563037872314453,10,3,0,7,789.5828722582949,6,SA,57
1.9009184837341309,10,2,0,8,796.4458811015754,6,SA,58
2.069467306137085,10,3,0,7,852.9772719832262,6,SA,59
2.2051053047180176,10,2,0,8,864.7408855132749,6,SA,60
2.1821651458740234,10,2,0,8,836.259219136615,6,SA,61
2.0295746326446533,10,3,0,7,804.9005211358015,6,SA,62
1.8779771327972412,10,2,0,8,767.8801181043484,6,SA,63
2.1293065547943115,10,4,0,6,884.3895141574176,6,SA,64
1.896927833557129,10,3,0,7,796.6618507491283,6,SA,65
2.1352908611297607,10,0,0,10,923.865863901559,6,SA,66
2.1861541271209717,10,0,0,10,910.8937769075714,6,SA,67
2.0834295749664307,10,1,0,9,908.1043541684983,6,SA,68
2.2240536212921143,10,3,0,7,915.2622621337412,6,SA,69
2.094400405883789,10,2,0,8,875.6010921328326,6,SA,70
2.0943996906280518,10,1,0,9,835.5210305084911,6,SA,71
1.8440697193145752,10,3,0,7,808.01678871513,6,SA,72
1.8640155792236328,10,3,0,7,737.683424389661,6,SA,73
2.004641056060791,10,2,0,8,916.5880518550607,6,SA,74
1.6346302032470703,10,5,0,5,695.8500718584247,6,SA,75
2.036555290222168,10,2,0,8,891.6501028379646,6,SA,76
1.9138820171356201,10,4,0,6,801.4928016304074,6,SA,77
1.780240535736084,10,3,0,7,763.9657947573434,6,SA,78
1.8500542640686035,10,2,0,8,788.2559819994789,6,SA,79
